Neighbourhood,Latitude,Longitude
Abidnagar,17.5585134,79.1349434
Adarsh Nagar,30.1043091,78.288169
Adavivaram,17.77782465,83.25065915043429
Aganampudi,17.6860122,83.1354763
Akkayyapalem,17.7274872,83.2990879
Allipuram,16.8099279,79.8260747
Anakapalle,17.68897,83.003476
Anandapuram,17.878,83.304
Arilova,17.7675246,83.3138982
Asilmetta,17.7236258,83.3084114
Atchutapuram,17.56114675,83.00906528527955
Beach Road,17.7258611,83.3388424
Bheemunipatnam,17.891381,83.4512183
Chinna Gadhili,17.7599248,83.3162033
Chinna Waltair,17.7244993,83.3316576
Daba Gardens,12.616314,8.501309
Daspalla Hills,17.43701545,78.39842893464385
Devada,18.2556521,83.5588989
Devipuram,8.5571205,76.9295929
Duvvada,17.7035979,83.1513762
Dwaraka Nagar,16.4377419,77.8813934
Gajuwaka,17.6811126,83.18283163264533
Gambhiram,17.8795365,83.3708896
Gangavaram,17.589419,82.4962794
Gopalapatnam,17.3288019,82.6116421
Gudilova,44.5466196,39.0670964
Hanumanthavaka,17.7548828,83.3322598
HB Colony,25.0209343,66.8772831
Jagadamba Centre,17.3673039,78.5231685
Jalari Peta,17.6995633,83.3039308
Kailasapuram,17.7214305,83.2906223
Kakani Nagar,17.7382416,83.2284312
Kancharapalem,14.5889821,80.140808
Kommadi,17.8306475,83.3357655
Kurmannapalem,17.793796,83.1404774
Lankelapalem,17.687132,83.0961764
Lawsons Bay Colony,17.7317145,83.3396009
Maddilapalem,17.7352245,83.3209373
Malkapuram,17.6825868,83.2445442
Marripalem,17.5842069,82.5374514
Mindi,47.4303237,19.4552503
Mulagada,17.6988467,83.2251037
MVP Colony,17.7422648,83.3356865
NAD X Road,52.052529750000005,-8.863764729304725
Nadupuru,18.2309731,83.4169807
Naidu Thota,17.76356375,83.20985502073705
Narava,18.1384409,83.3259122
Nathayyapalem,17.7103596,83.2015569
Nidigattu,17.9724128,83.2054321
Padmanabham,17.995182749999998,83.32944232263603
Parawada,15.6650213,74.2108707
Pedagantyada,17.595680950000002,83.16971163034981
Pendurthi,17.80066925,83.2010374800441
Poorna Market,58.158702649999995,22.509094057381972
Prahaladapuram,17.7682154,83.2275557
Prakashraopeta,17.7137473,83.3035458
Pudimadaka,17.4924469,83.0030712
Railway New Colony,19.3620449,79.2694366
Ramnagar,17.7231276,83.3012842
Ravada,17.9703654,83.4596109
Ravindra Nagar,19.2509239,78.2838434
Relli Veedhi,17.7253111,83.3305102
Rushikonda,17.7785704,83.3821084
Sabbavaram,17.7961949,83.09697262541978
Sagar Nagar,17.76149615,83.35726894546022
Salipeta,18.319633,83.2836692
Sankara Matam Road,9.5484264,-13.6512171
Scindia,17.6969759,83.2693056
Seethammadhara,17.7433179,83.3144918
Sheela Nagar,12.9650499,80.2020747
Siripuram,17.5043419,82.3380937
Sontyam,17.8660372,83.2946041
Sriharipuram,13.2320307,79.7668788
Sujatha Nagar,18.4910256,73.82549754569
Tagarapuvalasa,17.9301255,83.4256586
Thatichetlapalem,17.727622,83.291263
Town Kotha Road,16.2023654,76.6680329
Vadlapudi,14.3115367,79.8040343
Velampeta,16.936286,82.048844
Venkojipalem,17.7475747,83.33156393675078
Vepagunta,17.7744273,83.2153678
VIP Road,17.7273543,83.3154222
Visalakshi Nagar,13.0231904,80.2027512
Waltair Main Road,17.7214305,83.2906223
Yarada,17.6594956,83.2759809
Yendada,17.782904,83.374186
